Water quality control area,Source,Monitoring station,Date,Sample number,Depth,Five-day biochemical oxygen demand (mg/L),Chlorophyll-a (µg/L),Dissolved oxygen saturation percentage (percentage),Dissolved oxygen (mg/L),Escherichia coli (colony count/100 ml),Fecal coliforms (colony count/100 ml),Nitrate nitrogen (mg/L),Nitrite nitrogen (mg/L),pH value,Magnesium-depleted pigment (µg/L),Salinity (psu),Transparency (meters),Silicon (silicon dioxide) (mg/L),Suspended solids (mg/L),Temperature (Celsius),Inorganic nitrogen (mg/L),Kjeldahl nitrogen (mg/L),Total nitrogen (mg/L),Total phosphorus (mg/L),Turbidity (NTU),Non-ionized ammonia nitrogen (mg/L),Total volatile solids (mg/L),Ammonia nitrogen (mg/L),Orthophosphate (mg/L)
Eastern Buffer Zone,Bay,EM1,2016-05-02,1,middle layer,0.6,1.9,81,5.4,7,21,0.02,0.011,7.7,3.4,32.7,3.5,0.61,11,26.5,0.08,0.52,0.55,0.06,1.5,0.001,2,0.12,0.011
Eastern Buffer Zone,Bay,EM1,2016-05-03,1,bottom layer,0.6,1.1,76,5.1,29,96,<0.002,0.008,7.6,0.8,31.4,3.5,0.63,9.9,26.8,0.06,0.43,0.44,0.03,1.5,<0.001,1.5,0.14,0.008
Eastern Buffer Zone,Bay,EM1,2016-05-04,1,surface layer,1.4,10,76,5.3,220,680,0.3,0.019,7.9,2,25.5,2,1.7,4,26.7,0.36,0.14,0.46,0.15,3.5,0.002,1.3,0.22,0.024
Eastern Buffer Zone,Bay,EM1,2016-05-05,1,middle layer,0.5,3.2,56,4,90,240,0.16,0.012,7.7,1.7,31.6,2,1.5,4.8,23.9,0.2,0.19,0.36,0.07,3.4,<0.001,1.4,0.16,0.019
Eastern Buffer Zone,Bay,EM1,2016-05-06,1,bottom layer,0.8,1.8,50,3.5,61,140,0.14,0.011,7.7,1.6,31.4,2,1.5,6.1,24.4,0.16,0.22,0.37,0.04,3.4,<0.001,1.4,0.074,0.014
Eastern Buffer Zone,Bay,EM1,2016-05-07,1,surface layer,0.5,5.2,77,5.3,600,3700,0.17,0.051,7.8,2.3,31,2.5,1.3,8.8,25.3,0.36,0.79,1.01,0.05,4.3,0.004,2.5,0.008,0.009
Eastern Buffer Zone,Bay,EM1,2016-05-08,1,middle layer,0.3,0.5,51,3.5,76,120,0.078,0.042,7.9,0.9,33.7,2.5,1.2,8.4,23.9,0.15,0.59,0.71,0.03,3.9,<0.001,2.1,0.087,0.016
Eastern Buffer Zone,Bay,EM1,2016-05-09,1,bottom layer,0.3,0.6,51,3.6,17,70,0.061,0.034,7.9,0.3,33.9,2.5,1.1,13,23.7,0.11,1.4,1.5,0.03,3.8,<0.001,2.5,0.076,0.018
Eastern Buffer Zone,Bay,EM1,2016-05-10,1,surface layer,1.4,8.5,88,5.8,83,160,0.069,0.016,8.2,3.2,31.7,3,0.67,22,27.6,0.13,0.45,0.54,0.02,3.4,0.003,4.8,0.18,0.012
Eastern Buffer Zone,Bay,EM1,2016-05-11,1,middle layer,0.9,4.2,85,5.6,50,98,0.074,0.016,8.1,2.6,32.1,3,1.1,21,27.2,0.14,0.28,0.37,<0.02,4.6,0.003,4.7,0.14,0.014
Eastern Buffer Zone,Bay,EM1,2016-05-12,1,bottom layer,0.9,5.9,70,4.6,76,130,0.075,0.015,8.1,5.2,32.2,3,1.2,21,27,0.14,0.39,0.48,<0.02,5.7,0.003,4.2,0.032,0.014
Eastern Buffer Zone,Bay,EM1,2016-05-13,1,surface layer,0.2,3.3,90,5.9,140,310,0.031,0.016,8,0.8,32.4,3.4,0.35,2.6,27.7,0.08,0.35,0.4,0.02,4.1,0.002,0.8,0.15,0.012
Eastern Buffer Zone,Bay,EM1,2016-05-14,1,middle layer,0.4,2.4,73,4.8,80,180,0.018,0.014,8,0.2,32.4,3.4,0.35,3,27.7,0.06,0.22,0.25,0.03,3.6,0.002,0.8,0.14,0.013
Eastern Buffer Zone,Bay,EM1,2016-05-15,1,bottom layer,0.3,2.3,91,6,29,81,0.016,0.013,8,0.5,32.5,3.4,0.38,3.5,27.6,0.05,0.55,0.58,<0.02,4,0.001,0.8,0.078,0.014
Eastern Buffer Zone,Bay,EM1,2016-05-16,1,surface layer,<0.1,1.3,93,6.4,390,880,0.043,0.094,7.7,0.4,31.3,2.3,0.71,11,25.3,0.16,0.15,0.29,0.02,5.6,<0.001,2,0.12,0.012
Eastern Buffer Zone,Bay,EM1,2016-05-17,1,middle layer,<0.1,0.8,80,5.5,430,980,0.052,0.089,7.7,0.8,31.4,2.3,0.64,11,25.3,0.16,0.29,0.43,0.03,3.3,<0.001,1.9,0.14,0.021
Eastern Buffer Zone,Bay,EM1,2016-05-18,1,bottom layer,<0.1,0.6,84,5.8,120,320,0.008,0.085,7.7,0.2,31.4,2.3,0.65,11,25.3,0.11,0.48,0.57,0.03,3.2,<0.001,1.5,0.11,0.019
Eastern Buffer Zone,Bay,EM1,2016-05-19,1,surface layer,0.5,2.9,91,6.6,30,64,0.14,0.035,8.2,0.4,31,3,1.1,1.8,22.4,0.21,0.57,0.75,0.04,1.3,0.002,0.5,0.15,0.019
Eastern Buffer Zone,Bay,EM1,2016-05-20,1,middle layer,0.7,3.1,93,6.8,100,200,0.14,0.033,8.2,<0.2,31,3,1.1,1.9,22.3,0.21,0.45,0.62,0.03,0.9,0.002,0.6,0.12,0.014
Eastern Buffer Zone,Bay,EM1,2016-05-21,1,bottom layer,0.7,2.6,95,6.9,55,95,0.14,0.031,8.2,2,31,3,1.1,1.8,22.2,0.21,0.39,0.56,0.03,1.2,0.002,0.6,0.086,0.013
Eastern Buffer Zone,Bay,EM2,2016-05-22,1,surface layer,0.8,1.8,94,7.2,1,1,0.14,0.021,7.6,<0.2,31.7,6,0.98,0.5,19.4,0.18,0.3,0.46,0.03,2.4,<0.001,0.5,0.17,0.016
Eastern Buffer Zone,Bay,EM2,2016-05-23,1,middle layer,0.8,2.2,97,7.4,3,6,0.13,0.02,7.6,<0.2,31.8,6,0.91,1.1,19.4,0.18,0.57,0.72,0.03,2.2,<0.001,0.6,0.11,0.003
Eastern Buffer Zone,Bay,EM2,2016-05-24,1,bottom layer,0.7,2.3,94,7.1,30,53,0.14,0.021,7.6,<0.2,32,6,0.95,1,19.5,0.21,0.51,0.67,0.04,2.3,<0.001,<0.5,0.097,0.02
Eastern Buffer Zone,Bay,EM2,2016-05-25,1,surface layer,0.4,4.3,99,8.2,44,60,0.18,0.019,8,1.7,30.8,5.2,0.94,0.8,15.2,0.24,0.41,0.61,0.04,0.3,<0.001,0.7,0.2,0.043
Eastern Buffer Zone,Bay,EM2,2016-05-26,1,middle layer,0.9,1.1,98,8.1,92,110,0.15,0.018,8,0.3,30.9,5.2,0.91,<0.5,15.3,0.21,1.1,1.27,0.03,0.4,<0.001,<0.5,0.15,0.024
Eastern Buffer Zone,Bay,EM2,2016-05-27,1,bottom layer,0.7,1.3,97,8,140,140,0.13,0.016,8,<0.2,30.9,5.2,0.91,0.5,15.4,0.19,0.61,0.76,0.02,0.4,<0.001,<0.5,0.045,0.026
Eastern Buffer Zone,Bay,EM2,2016-05-28,1,surface layer,2.3,7,121,9.7,11,16,0.036,<0.002,7.8,2.2,31.2,3,0.96,3.6,16.9,0.11,0.31,0.35,0.03,2.5,<0.001,2,0.11,0.018
Eastern Buffer Zone,Bay,EM2,2016-05-29,1,middle layer,0.9,0.6,113,9.1,5,8,0.037,0.003,7.7,0.4,31.3,3,0.96,7,16.6,0.11,0.65,0.69,0.09,2.4,<0.001,1.6,0.12,0.017
Eastern Buffer Zone,Bay,EM2,2016-05-30,1,bottom layer,0.8,1,104,8.4,1,1,0.05,0.003,7.7,<0.2,31.6,3,0.98,3,16.4,0.1,0.29,0.34,0.03,3,<0.001,0.9,0.092,0.012
Eastern Buffer Zone,Bay,EM2,2016-05-31,1,surface layer,1.2,1.3,106,8,62,130,0.036,0.005,8,2.8,32.3,4,0.63,7.6,19.7,0.12,0.32,0.36,0.03,0.6,0.003,1.4,0.11,0.018
Eastern Buffer Zone,Bay,EM2,2016-06-01,1,middle layer,0.8,0.6,96,7.2,39,64,0.044,0.007,8,0.3,32.9,4,0.68,10,19.3,0.13,0.49,0.54,0.03,1,0.002,1.7,0.08,0.011
Eastern Buffer Zone,Bay,EM2,2016-06-02,1,bottom layer,0.4,0.4,90,6.8,6,10,0.032,0.007,7.9,<0.2,33.6,4,0.61,11,19.1,0.1,0.3,0.34,0.02,2,0.001,2,0.027,0.007
Eastern Buffer Zone,Bay,EM2,2016-06-03,1,surface layer,0.9,0.3,83,5.9,340,560,0.039,0.008,7.6,<0.2,31.8,4,0.59,2.8,22.7,0.14,0.31,0.36,0.02,0.9,0.001,1.2,0.18,0.038
Eastern Buffer Zone,Bay,EM2,2016-06-04,1,middle layer,0.8,0.3,83,6,77,250,0.031,0.007,7.6,<0.2,32,4,0.58,1.6,22.6,0.12,0.31,0.35,0.02,0.9,0.001,<0.5,0.088,0.021
Eastern Buffer Zone,Bay,EM2,2016-06-05,1,bottom layer,0.6,<0.2,79,5.7,4,13,<0.002,<0.002,7.6,<0.2,32.8,4,0.6,5.2,22.2,0.05,0.46,0.46,0.05,2.5,<0.001,<0.5,0.065,0.015
Eastern Buffer Zone,Bay,EM2,2016-06-06,1,surface layer,1.2,4.9,86,5.7,150,560,0.14,0.019,7.8,2.7,32,3,0.6,12,27.2,0.22,0.26,0.42,0.11,0.9,0.002,2.4,0.1,0.007
Eastern Buffer Zone,Bay,EM2,2016-06-07,1,middle layer,0.6,1.1,84,5.6,7,26,<0.002,0.007,7.7,0.6,33.7,3,0.59,11,26.3,0.05,0.52,0.53,0.02,1.3,<0.001,1.8,0.12,0.012
Eastern Buffer Zone,Bay,EM2,2016-06-08,1,bottom layer,0.5,1.4,69,4.6,<1,2,<0.002,0.003,7.5,1.4,34.2,3,0.64,11,26.1,0.04,0.31,0.32,0.03,2.1,<0.001,2,0.085,0.013
Eastern Buffer Zone,Bay,EM2,2016-06-09,1,surface layer,1.8,9.3,90,6.2,120,400,0.26,0.018,7.7,1.9,26.5,3,1.6,3.7,26.4,0.31,0.09,0.37,0.12,2.8,<0.001,1.7,0.15,0.011
Eastern Buffer Zone,Bay,EM2,2016-06-10,1,middle layer,1,3.6,62,4.3,90,260,0.16,0.012,7.7,1.7,30.1,3,1.5,3.6,24.6,0.19,0.11,0.28,0.03,2.8,<0.001,1.2,0.13,0.018
Eastern Buffer Zone,Bay,EM2,2016-06-11,1,bottom layer,0.9,1.2,48,3.4,10,40,0.13,0.01,7.7,0.9,30.8,3,1.5,3.8,24.5,0.15,0.15,0.29,0.03,3.3,<0.001,1.3,0.05,0.009
Eastern Buffer Zone,Bay,EM2,2016-06-12,1,surface layer,0.8,5.8,83,5.8,410,2700,0.14,0.04,7.9,1.2,30.2,3.8,0.98,7,25.3,0.29,1.3,1.48,0.04,3.3,0.004,2.2,0.017,0.006
Eastern Buffer Zone,Bay,EM2,2016-06-13,1,middle layer,0.3,0.9,53,3.7,160,400,0.07,0.042,7.9,0.8,33.4,3.8,1.1,7.9,24.2,0.14,0.76,0.87,0.03,3.4,<0.001,1.8,0.094,0.019
Eastern Buffer Zone,Bay,EM2,2016-06-14,1,bottom layer,0.2,0.6,51,3.6,14,50,0.063,0.024,7.9,0.2,34.1,3.8,1.1,11,23.5,0.1,1.2,1.29,0.02,5.3,<0.001,2,0.028,0.018
Eastern Buffer Zone,Bay,EM2,2016-06-15,1,surface layer,1.7,8.5,107,7,3,21,0.038,0.009,8.3,5.9,31.6,2.5,0.25,23,28.3,0.09,0.67,0.72,0.04,2.9,0.004,5.9,0.14,0.012
Eastern Buffer Zone,Bay,EM2,2016-06-16,1,middle layer,1,5.9,105,6.8,1,2,0.014,0.002,8.3,2.4,31.9,2.5,0.21,18,28.3,0.05,0.42,0.44,<0.02,2.4,0.003,4,0.099,0.014
Eastern Buffer Zone,Bay,EM2,2016-06-17,1,bottom layer,0.9,4.9,61,4.1,12,24,0.068,0.012,8.1,4.8,32.5,2.5,1.4,35,26.7,0.13,0.43,0.51,0.02,10.2,0.003,6.4,0.059,0.012
Eastern Buffer Zone,Bay,EM2,2016-06-18,1,surface layer,0.4,3.5,95,6.2,26,150,0.016,0.012,8,0.4,32.5,2.4,0.31,1.7,27.7,0.05,0.18,0.21,<0.02,4.7,0.001,0.8,0.067,0.015
Eastern Buffer Zone,Bay,EM2,2016-06-19,1,middle layer,0.6,2.7,77,5,22,110,0.017,0.012,8,0.5,32.5,2.4,0.36,2.1,27.6,0.06,0.69,0.72,0.02,3.2,0.002,0.8,0.055,0.013
Eastern Buffer Zone,Bay,EM2,2016-06-20,1,bottom layer,0.4,2.9,93,6.1,2,25,0.015,0.012,8,1.7,32.6,2.4,0.4,5.1,27.5,0.05,0.24,0.27,<0.02,4.5,0.001,1,0.043,0.013
Eastern Buffer Zone,Bay,EM2,2016-06-21,1,surface layer,<0.1,1.1,86,5.9,490,950,0.059,0.094,7.7,1,31.3,2.9,0.71,10,25.3,0.18,0.3,0.45,0.02,6.8,<0.001,1.9,0.12,0.023
Eastern Buffer Zone,Bay,EM2,2016-06-22,1,middle layer,<0.1,1.2,84,5.8,200,430,0.032,0.088,7.7,0.5,31.4,2.9,0.63,9,25.3,0.14,0.29,0.41,0.02,2.6,<0.001,1.4,0.15,0.012
Eastern Buffer Zone,Bay,EM2,2016-06-23,1,bottom layer,<0.1,0.8,88,6,36,92,0.027,0.085,7.7,0.6,31.5,2.9,0.63,8.8,25.2,0.12,0.47,0.58,0.02,4.9,<0.001,1.2,0.053,0.013
Eastern Buffer Zone,Bay,EM2,2016-06-24,1,surface layer,0.7,2.4,93,6.8,1,4,0.13,0.027,8.1,1.9,31,3,1,1.7,22.4,0.17,0.54,0.7,0.03,0.6,<0.001,0.6,0.084,0.011
Eastern Buffer Zone,Bay,EM2,2016-06-25,1,middle layer,0.5,2.3,95,6.9,1,1,0.13,0.024,8.2,2.1,31,3,1.1,2,22.2,0.18,0.43,0.58,0.03,0.8,0.001,0.7,0.069,0.007
Eastern Buffer Zone,Bay,EM2,2016-06-26,1,bottom layer,0.7,1.9,96,7,4,9,0.13,0.024,8.2,1.3,31,3,1.1,2.6,22.2,0.18,0.47,0.62,0.02,0.9,0.001,<0.5,0.023,0.009
Eastern Buffer Zone,Bay,EM3,2016-06-27,1,surface layer,0.8,1.2,96,7.3,1,1,0.15,0.023,7.6,0.6,31.6,4,1,0.7,19.4,0.2,0.74,0.91,0.1,2.4,<0.001,0.6,0.11,0.009
Eastern Buffer Zone,Bay,EM3,2016-06-28,1,middle layer,0.7,1.3,97,7.4,1,4,0.14,0.023,7.6,<0.2,31.7,4,0.98,0.5,19.3,0.19,0.35,0.51,0.07,2.4,<0.001,<0.5,0.096,0.016
Eastern Buffer Zone,Bay,EM3,2016-06-29,1,bottom layer,0.7,1.4,97,7.4,1,8,0.14,0.021,7.7,<0.2,31.8,4,0.93,<0.5,19.4,0.19,0.42,0.58,0.02,2.3,<0.001,<0.5,0.081,0.014
Eastern Buffer Zone,Bay,EM3,2016-06-30,1,surface layer,0.1,3.5,101,8.4,2,2,0.13,0.017,8,<0.2,30.7,4,1,0.9,15.2,0.18,0.81,0.96,0.04,0.3,<0.001,0.5,0.091,0.033
Eastern Buffer Zone,Bay,EM3,2016-07-01,1,middle layer,1,2.5,101,8.4,4,4,0.13,0.014,8,<0.2,30.8,4,1,<0.5,15.3,0.17,0.57,0.71,0.03,0.3,<0.001,<0.5,0.094,0.014
Eastern Buffer Zone,Bay,EM3,2016-07-02,1,bottom layer,0.8,1.4,97,8,1,1,0.11,0.016,8,<0.2,31.2,4,0.98,1,15.6,0.17,0.4,0.53,0.02,0.8,<0.001,0.6,0.029,0.019
Eastern Buffer Zone,Bay,EM3,2016-07-03,1,surface layer,5.5,25,126,10.1,4,5,0.017,<0.002,7.8,4.8,31.2,3,0.95,5.4,16.9,0.11,0.4,0.42,0.1,2.7,0.001,3.2,0.042,0.005
Eastern Buffer Zone,Bay,EM3,2016-07-04,1,middle layer,2.7,6.5,113,9.1,<1,1,0.008,<0.002,7.8,1.6,31.3,3,0.93,14,16.7,0.07,0.54,0.55,0.03,2.3,<0.001,3.8,0.053,0.011
Eastern Buffer Zone,Bay,EM3,2016-07-05,1,bottom layer,0.5,0.8,103,8.3,<1,1,0.065,0.004,7.7,<0.2,31.8,3,0.91,9.4,16.4,0.11,0.29,0.36,0.08,2.6,<0.001,1.7,0.041,0.014
Eastern Buffer Zone,Bay,EM3,2016-07-06,1,surface layer,1,0.9,112,8.5,2,3,0.013,0.002,8.1,0.5,32.5,6,0.53,7.5,19.8,0.07,0.22,0.24,<0.02,0.3,0.002,1.6,0.04,0.005
Eastern Buffer Zone,Bay,EM3,2016-07-07,1,middle layer,0.7,0.3,105,7.9,4,9,0.023,0.004,8,0.3,32.7,6,0.56,8.2,19.6,0.08,0.62,0.65,0.04,0.5,0.001,1.4,0.035,0.01
Eastern Buffer Zone,Bay,EM3,2016-07-08,1,bottom layer,0.6,0.6,89,6.7,9,20,0.031,0.005,7.9,<0.2,33.8,6,0.61,8.4,19.2,0.09,0.51,0.55,0.02,1.2,0.001,1.6,0.023,0.028
Eastern Buffer Zone,Bay,EM3,2016-07-09,1,surface layer,1.5,0.6,69,4.9,1,4,0.01,0.004,7.7,<0.2,32,4,0.43,1.2,23.1,0.08,0.33,0.34,<0.02,0.4,0.001,0.8,0.033,0.006
Eastern Buffer Zone,Bay,EM3,2016-07-10,1,middle layer,1,0.7,83,5.9,8,20,0.013,0.004,7.7,<0.2,32.1,4,0.46,1,22.8,0.08,0.4,0.42,0.03,0.4,0.001,0.5,0.032,0.008
Eastern Buffer Zone,Bay,EM3,2016-07-11,1,bottom layer,0.6,<0.2,83,6,<1,2,<0.002,0.005,7.6,<0.2,33.1,4,0.56,2.3,22.1,0.05,0.31,0.32,0.02,1.4,<0.001,0.6,0.047,0.016
Eastern Buffer Zone,Bay,EM3,2016-07-12,1,surface layer,1.4,8.3,79,5.3,20,140,0.12,0.019,7.8,3.4,30.3,3,0.43,2.6,27.5,0.19,0.41,0.55,0.06,0.8,0.002,1.4,0.029,0.004
Eastern Buffer Zone,Bay,EM3,2016-07-13,1,middle layer,0.5,1.3,83,5.5,7,38,<0.002,0.005,7.7,1.1,33.7,3,0.54,9.8,26.2,0.04,0.48,0.49,0.02,1.2,<0.001,1.4,0.038,0.011
Eastern Buffer Zone,Bay,EM3,2016-07-14,1,bottom layer,0.7,0.8,72,4.8,3,13,<0.002,0.011,7.4,0.8,34,3,0.62,2.1,26.1,0.05,1.1,1.11,0.27,1.6,<0.001,<0.5,0.042,0.005
Eastern Buffer Zone,Bay,EM3,2016-07-15,1,surface layer,2.8,21,95,6.5,36,99,0.17,0.017,7.9,3.6,28.7,2.5,0.48,4,27,0.2,0.09,0.28,0.1,1.9,<0.001,2.2,0.084,0.005
Eastern Buffer Zone,Bay,EM3,2016-07-16,1,middle layer,0.9,2.2,81,5.6,11,30,0.13,0.012,7.7,1,29.9,2.5,1.4,2.8,25.8,0.15,0.16,0.3,0.03,2.3,<0.001,1.2,0.033,0.005
Eastern Buffer Zone,Bay,EM3,2016-07-17,1,bottom layer,0.7,<0.2,76,5.3,<1,<1,0.12,<0.002,7.7,<0.2,30,2.5,1.6,4,25.6,0.13,0.16,0.28,0.04,2.6,<0.001,1,0.027,0.011
Eastern Buffer Zone,Bay,EM3,2016-07-18,1,surface layer,0.6,5.4,71,4.9,750,2200,0.15,0.049,7.8,2.3,31.6,3.5,1.1,7.7,25.1,0.33,0.89,1.09,0.04,4.3,0.004,2.3,0.014,0.008
Eastern Buffer Zone,Bay,EM3,2016-07-19,1,middle layer,0.2,1,56,3.9,4,15,0.061,0.023,7.9,<0.2,33.9,3.5,0.94,9.2,23.8,0.1,0.94,1.02,0.02,2.8,<0.001,1.9,0.041,0.019
Eastern Buffer Zone,Bay,EM3,2016-07-20,1,bottom layer,0.1,1.2,53,3.7,1,8,0.064,0.022,7.9,<0.2,34.1,3.5,1.1,8.6,23.4,0.1,1.1,1.19,0.03,3.9,<0.001,1.5,0.017,0.017
Eastern Buffer Zone,Bay,EM3,2016-07-21,1,surface layer,1.2,6.1,97,6.3,1,4,0.005,<0.002,8.3,2.7,31.9,3,0.16,21,28.4,0.03,0.24,0.25,<0.02,4.5,0.002,4.5,0.13,0.016
Eastern Buffer Zone,Bay,EM3,2016-07-22,1,middle layer,1.1,3.6,110,7.1,1,1,0.002,<0.002,8.3,0.8,31.9,3,0.21,12,28.5,0.02,0.39,0.39,<0.02,2.4,0.002,2.8,0.032,0.017
Eastern Buffer Zone,Bay,EM3,2016-07-23,1,bottom layer,0.7,2.7,66,4.4,3,4,0.028,0.005,8.2,2.1,33,3,0.64,7.2,26.2,0.06,0.6,0.63,0.04,3,0.002,2,0.018,0.01
Eastern Buffer Zone,Bay,EM3,2016-07-24,1,surface layer,0.2,2,85,5.6,<1,3,0.009,0.011,8,<0.2,32.6,2.2,0.48,2,27.5,0.03,0.25,0.27,<0.02,5,<0.001,0.6,0.015,0.011
Eastern Buffer Zone,Bay,EM3,2016-07-25,1,middle layer,0.3,1.3,92,6,<1,3,0.01,0.013,8,1,32.6,2.2,0.5,2.1,27.5,0.04,0.59,0.61,<0.02,3.2,<0.001,0.7,0.02,0.01
Eastern Buffer Zone,Bay,EM3,2016-07-26,1,bottom layer,0.2,1.5,91,6,1,2,0.01,0.013,8,<0.2,32.6,2.2,0.53,4.9,27.5,0.04,0.17,0.19,<0.02,3.6,<0.001,1.3,0.023,0.016
Eastern Buffer Zone,Bay,EM3,2016-07-27,1,surface layer,<0.1,1.4,81,5.6,580,960,0.093,0.004,7.7,0.2,31.5,3.6,0.66,14,24.6,0.12,0.27,0.37,0.03,4.9,<0.001,2.7,0.038,0.01
Eastern Buffer Zone,Bay,EM3,2016-07-28,1,middle layer,<0.1,1.1,88,6.1,91,150,0.005,0.072,7.7,<0.2,31.5,3.6,0.56,11,25.2,0.09,0.38,0.46,0.03,3.2,<0.001,1.7,0.02,0.008
Eastern Buffer Zone,Bay,EM3,2016-07-29,1,bottom layer,<0.1,0.6,91,6.2,49,94,0.003,0.068,7.7,<0.2,31.5,3.6,0.56,8.2,25.2,0.08,0.19,0.26,0.02,3.6,<0.001,1.1,0.017,0.002
Eastern Buffer Zone,Bay,EM3,2016-07-30,1,surface layer,0.8,2.6,96,7,4,7,0.13,0.024,8.2,1.6,31,3.5,1.1,2.2,22.2,0.18,0.53,0.68,0.02,0.9,0.001,0.6,0.071,0.013
Eastern Buffer Zone,Bay,EM3,2016-07-31,1,middle layer,0.8,1.9,96,7,11,16,0.13,0.025,8.2,1.7,31,3.5,1.1,3.8,22.2,0.18,0.5,0.66,0.03,0.9,0.001,0.9,0.044,0.009
Eastern Buffer Zone,Bay,EM3,2016-08-01,1,bottom layer,0.6,1.9,96,7,19,27,0.13,0.023,8.2,1.6,31,3.5,1.1,2.7,22.2,0.18,0.36,0.51,0.02,1.4,0.001,0.6,0.021,0.007
Eastern Buffer Zone,Bay,ET1,2016-08-02,1,surface layer,0.8,2,85,6.5,340,720,0.15,0.019,7.6,<0.2,30.8,4,1,0.8,19.8,0.21,0.53,0.7,0.05,2.4,<0.001,<0.5,0.25,0.016
Eastern Buffer Zone,Bay,ET1,2016-08-03,1,middle layer,0.9,1.6,92,7,380,670,0.15,0.018,7.6,0.2,31.6,4,1,<0.5,19.6,0.21,1.1,1.27,0.13,2.3,<0.001,<0.5,0.24,0.019
Eastern Buffer Zone,Bay,ET1,2016-08-04,1,bottom layer,0.6,2.4,93,7.1,230,320,0.14,0.019,7.6,<0.2,31.8,4,1,0.8,19.6,0.2,0.46,0.62,0.05,2.3,<0.001,<0.5,0.19,0.027
Eastern Buffer Zone,Bay,ET1,2016-08-05,1,surface layer,4.2,17,113,9,350,510,0.043,<0.002,7.8,1.9,30.9,3,1.1,19,17,0.12,0.45,0.5,0.04,2.9,0.001,4.6,0.26,0.051
Eastern Buffer Zone,Bay,ET1,2016-08-06,1,middle layer,3.4,10,130,10.4,430,640,0.046,0.004,7.8,6.9,30.9,3,1,10,16.9,0.14,0.47,0.52,0.04,2.9,0.001,2.4,0.24,0.058
Eastern Buffer Zone,Bay,ET1,2016-08-07,1,bottom layer,3,9.4,118,9.5,410,580,0.049,<0.002,7.7,2.9,31,3,1,1.6,16.7,0.14,0.39,0.44,0.04,2.7,0.001,1.2,0.17,0.038
Eastern Buffer Zone,Bay,ET1,2016-08-08,1,surface layer,0.9,0.8,79,5.6,650,3400,0.086,0.012,7.6,<0.2,31.4,3,1.1,0.7,23.1,0.23,0.42,0.52,0.04,0.8,0.002,<0.5,0.18,0.03
Eastern Buffer Zone,Bay,ET1,2016-08-09,1,middle layer,0.7,0.6,78,5.6,580,1800,0.059,0.009,7.6,<0.2,31.7,3,0.76,1.6,22.8,0.18,0.42,0.49,0.03,0.9,0.002,0.8,0.18,0.023
Eastern Buffer Zone,Bay,ET1,2016-08-10,1,bottom layer,0.5,0.4,79,5.7,250,660,0.05,0.008,7.6,<0.2,31.8,3,0.74,1.8,22.7,0.15,0.35,0.41,0.02,1.2,0.002,0.6,0.18,0.033
Eastern Buffer Zone,Bay,ET1,2016-08-11,1,surface layer,1.5,13,77,5.3,70,120,0.23,0.018,7.9,2.6,29.2,2.5,1.4,4,25.7,0.28,0.06,0.31,0.06,2.5,<0.001,1.5,0.12,0.018
Eastern Buffer Zone,Bay,ET1,2016-08-12,1,middle layer,1.5,12,60,4.1,160,330,0.19,0.017,7.9,3.9,29.2,2.5,1,3.4,25.6,0.23,0.07,0.28,0.1,2.5,<0.001,1.5,0.1,0.019
Eastern Buffer Zone,Bay,ET1,2016-08-13,1,bottom layer,1,5,60,4.1,250,410,0.13,0.015,7.9,2.4,29.6,2.5,1.1,2.5,25.5,0.17,0.14,0.29,0.04,1.9,<0.001,1.2,0.06,0.009
Eastern Buffer Zone,Bay,ET1,2016-08-14,1,surface layer,1.4,6.6,83,5.5,340,750,0.078,0.016,8.2,6,31.2,2.5,0.75,16,28.1,0.14,0.57,0.66,0.04,9.5,0.004,4,0.18,0.027
Eastern Buffer Zone,Bay,ET1,2016-08-15,1,middle layer,1.4,12,76,5,250,630,0.07,0.014,8.2,10,31.2,2.5,0.72,66,28.1,0.13,0.35,0.43,0.03,14.1,0.004,11,0.14,0.021
Eastern Buffer Zone,Bay,ET1,2016-08-16,1,bottom layer,1.5,12,87,5.7,140,300,0.07,0.014,8.2,11,31.4,2.5,0.72,54,28.1,0.14,0.29,0.37,0.02,19,0.004,9.4,0.11,0.016
Eastern Buffer Zone,Bay,ET1,2016-08-17,1,surface layer,<0.1,1.6,71,5,450,2100,0.11,0.059,7.6,1.4,30.3,2.4,1.3,7,24.2,0.25,0.25,0.42,0.07,2.3,0.001,1.2,0.087,0.011
Eastern Buffer Zone,Bay,ET1,2016-08-18,1,middle layer,<0.1,1.4,67,4.6,80,420,0.075,0.071,7.7,0.3,30.8,2.4,0.86,4.2,25.4,0.19,0.46,0.61,0.03,2.1,0.001,0.8,0.088,0.009
Eastern Buffer Zone,Bay,ET1,2016-08-19,1,bottom layer,0.2,0.9,67,4.6,370,740,0.056,0.083,7.7,<0.2,31.1,2.4,0.79,9.8,25.4,0.18,0.3,0.44,0.03,2.3,<0.001,1.5,0.094,0.01
Eastern Buffer Zone,Bay,ET2,2016-08-20,1,surface layer,0.8,1.3,81,6.1,1600,2400,0.16,0.023,7.3,0.5,31.8,4,1.1,0.6,19.7,0.28,0.38,0.56,0.05,2.5,<0.001,<0.5,0.035,0.009
